LSOA code,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived)
E01000001,29199
E01000002,30379
E01000003,14915
E01000005,8678
E01000006,14486
E01000007,7256
E01000008,5010
E01000009,6736
E01000010,6900
E01000011,7698
E01000012,5990
E01000013,4573
E01000014,5650
E01000015,6405
E01000016,6739
E01000017,4570
E01000018,6504
E01000019,6410
E01000020,5520
E01000021,4611
E01000022,6098
E01000023,5243
E01000024,8333
E01000025,5303
E01000027,5097
E01000028,4240
E01000029,12389
E01000030,4760
E01000031,12267
E01000032,8037
E01000033,4879
E01000034,5575
E01000035,10070
E01000036,15028
E01000037,16128
E01000038,14671
E01000039,12542
E01000040,6028
E01000041,6601
E01000042,3842
E01000043,8992
E01000044,8825
E01000045,5639
E01000046,8138
E01000048,3117
E01000049,3928
E01000050,5994
E01000051,5228
E01000052,6549
E01000053,4249
E01000054,8124
E01000055,7604
E01000056,5571
E01000057,6712
E01000058,7176
E01000059,6950
E01000060,5475
E01000061,2802
E01000062,9781
E01000063,6520
E01000064,5791
E01000065,4296
E01000066,10329
E01000067,13573
E01000068,10421
E01000069,17580
E01000070,13531
E01000071,15370
E01000072,3974
E01000073,4645
E01000074,5870
E01000075,5215
E01000076,5451
E01000077,3967
E01000078,5874
E01000079,6057
E01000080,6596
E01000081,7738
E01000082,9100
E01000083,6111
E01000084,4315
E01000085,5838
E01000086,4822
E01000087,6122
E01000088,8574
E01000089,8508
E01000090,8873
E01000091,3669
E01000092,6348
E01000093,2669
E01000094,8930
E01000095,6984
E01000096,3997
E01000097,4866
E01000098,4455
E01000099,8373
E01000100,7152
E01000101,4126
E01000102,3557
E01000103,6708
E01000104,6002
E01000105,3229
E01000106,3355
E01000107,8865
E01000108,8940
E01000109,10373
E01000110,16365
E01000111,8544
E01000112,10925
E01000113,10601
E01000114,11855
E01000115,29174
E01000116,27318
E01000117,24958
E01000118,24743
E01000119,22657
E01000120,29572
E01000121,5463
E01000122,24308
E01000123,23278
E01000124,11634
E01000125,9759
E01000126,6407
E01000127,9275
E01000128,9555
E01000129,7554
E01000130,7621
E01000131,13623
E01000132,10459
E01000133,7660
E01000134,10969
E01000135,21585
E01000136,25840
E01000137,8611
E01000138,9114
E01000139,21727
E01000140,17164
E01000141,8601
E01000142,17305
E01000143,7380
E01000144,15833
E01000145,19310
E01000146,15647
E01000147,21282
E01000148,9213
E01000150,18371
E01000151,4606
E01000152,6908
E01000153,3826
E01000154,6805
E01000155,13700
E01000156,26669
E01000157,21431
E01000158,14606
E01000159,17696
E01000160,22025
E01000161,19434
E01000162,15689
E01000163,8744
E01000164,10557
E01000165,20782
E01000166,19054
E01000167,8854
E01000168,28357
E01000169,20813
E01000170,14031
E01000171,11210
E01000172,26533
E01000173,24872
E01000174,17685
E01000175,27536
E01000176,7768
E01000177,26742
E01000178,27008
E01000179,26462
E01000180,19391
E01000181,26821
E01000182,27057
E01000183,23760
E01000184,7110
E01000185,10299
E01000186,30326
E01000187,21042
E01000188,27036
E01000189,11051
E01000190,24311
E01000191,28527
E01000192,18475
E01000193,17828
E01000194,14920
E01000195,9593
E01000196,21850
E01000197,21591
E01000198,22353
E01000199,28042
E01000200,25046
E01000201,28084
E01000202,28623
E01000203,18422
E01000204,24436
E01000205,27397
E01000206,25629
E01000207,28804
E01000208,28766
E01000209,28249
E01000210,26833
E01000211,19377
E01000212,24145
E01000213,27586
E01000214,23881
E01000215,20414
E01000216,24507
E01000217,23520
E01000218,18612
E01000219,14460
E01000220,16891
E01000221,2878
E01000222,9539
E01000223,5606
E01000224,14638
E01000225,23364
E01000226,7222
E01000227,24577
E01000228,21621
E01000229,13079
E01000230,27204
E01000231,16447
E01000232,19413
E01000233,25991
E01000234,26226
E01000235,11811
E01000236,23808
E01000237,25066
E01000238,19485
E01000239,13120
E01000240,14717
E01000241,23646
E01000242,15111
E01000243,19861
E01000244,18293
E01000245,11312
E01000246,23751
E01000247,24330
E01000248,27938
E01000249,29613
E01000250,21023
E01000251,15365
E01000252,20654
E01000253,25200
E01000254,27346
E01000255,15471
E01000256,23742
E01000257,10770
E01000258,25595
E01000259,20665
E01000260,14473
E01000261,27512
E01000262,22595
E01000263,29609
E01000264,17488
E01000265,18822
E01000266,27042
E01000267,21327
E01000268,18670
E01000269,23965
E01000270,22199
E01000271,28725
E01000272,30661
E01000273,19790
E01000274,18373
E01000275,20490
E01000276,31443
E01000277,15935
E01000278,29998
E01000279,25843
E01000280,31544
E01000281,23416
E01000282,26321
E01000283,30858
E01000284,18467
E01000285,18783
E01000286,11433
E01000287,12242
E01000288,21005
E01000289,4786
E01000290,14405
E01000291,6697
E01000292,22974
E01000293,27550
E01000294,21893
E01000295,20731
E01000296,22036
E01000297,25783
E01000298,22372
E01000299,16989
E01000300,21880
E01000301,28246
E01000302,18360
E01000303,28555
E01000304,20455
E01000305,9115
E01000306,19906
E01000307,11835
E01000308,7151
E01000309,20046
E01000310,15067
E01000311,23246
E01000312,10806
E01000313,14409
E01000314,23679
E01000315,6785
E01000316,14454
E01000317,23497
E01000318,19218
E01000319,24628
E01000320,26150
E01000321,19535
E01000322,19048
E01000323,15389
E01000324,20202
E01000325,29599
E01000326,22206
E01000327,27457
E01000328,22853
E01000329,18060
E01000330,16254
E01000331,8888
E01000332,17857
E01000333,10270
E01000334,21066
E01000335,7186
E01000336,7373
E01000337,14747
E01000338,15333
E01000339,17653
E01000340,21230
E01000341,25941
E01000342,25891
E01000343,26633
E01000344,29332
E01000345,29145
E01000346,24927
E01000347,23128
E01000348,30525
E01000349,27736
E01000350,27197
E01000351,27580
E01000352,19159
E01000353,30316
E01000354,13302
E01000355,26842
E01000356,27128
E01000357,31429
E01000358,29282
E01000359,29254
E01000360,15534
E01000361,23027
E01000362,21457
E01000363,25379
E01000364,21389
E01000365,19555
E01000366,24683
E01000367,7599
E01000368,6298
E01000369,19297
E01000370,22899
E01000371,26858
E01000372,8063
E01000373,8331
E01000374,3624
E01000375,15879
E01000376,17727
E01000377,21848
E01000378,13369
E01000379,15579
E01000380,11840
E01000381,9141
E01000382,28932
E01000383,13501
E01000384,22083
E01000385,6958
E01000386,3835
E01000387,21777
E01000388,23585
E01000389,23070
E01000390,24292
E01000391,20043
E01000392,12119
E01000393,25584
E01000394,25359
E01000395,30471
E01000396,26986
E01000398,14343
E01000399,25650
E01000400,19222
E01000401,13478
E01000402,11661
E01000403,8247
